# Location,Cameron Pass
# Site,Joe Wright
# PitID,COCPJW
# Date/Local Time,2020-02-12T11:08
# UTM Zone,13N
# Easting,424321
# Northing,4486308
# Latitude,40.52405
# Longitude,-105.89345
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
157.0,147.0,111.5,NaN,NaN,NaN,NaN
147.0,137.0,111.5,NaN,NaN,NaN,NaN
137.0,127.0,172.0,NaN,NaN,NaN,NaN
127.0,NaN,142.5,NaN,NaN,NaN,NaN
117.0,NaN,140.0,NaN,NaN,NaN,NaN
107.0,NaN,180.0,NaN,NaN,NaN,NaN
97.0,NaN,217.5,NaN,NaN,NaN,NaN
87.0,NaN,260.0,NaN,NaN,NaN,NaN
77.0,NaN,292.0,NaN,NaN,NaN,NaN
67.0,NaN,285.0,NaN,NaN,NaN,NaN
57.0,NaN,314.3333333333333,NaN,NaN,NaN,NaN
47.0,NaN,302.0,NaN,NaN,NaN,NaN
37.0,NaN,277.6666666666667,NaN,NaN,NaN,NaN
27.0,NaN,NaN,NaN,NaN,NaN,NaN
17.0,NaN,345.3333333333333,NaN,NaN,NaN,NaN
