# Location,Cameron Pass
# Site,Joe Wright
# PitID,COCPJW
# Date/Local Time,2020-02-12T11:08
# UTM Zone,13N
# Easting,424321
# Northing,4486308
# Latitude,40.52405
# Longitude,-105.89345
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
157.0,147.0,111.0,112.0,NaN
147.0,137.0,110.0,113.0,NaN
137.0,127.0,169.0,175.0,NaN
127.0,NaN,138.0,147.0,NaN
117.0,NaN,144.0,136.0,NaN
107.0,NaN,174.0,192.0,174.0
97.0,NaN,223.0,212.0,NaN
87.0,NaN,259.0,261.0,NaN
77.0,NaN,308.0,283.0,285.0
67.0,NaN,289.0,281.0,NaN
57.0,NaN,289.0,335.0,319.0
47.0,NaN,307.0,297.0,NaN
37.0,NaN,287.0,273.0,273.0
27.0,NaN,NaN,NaN,NaN
17.0,NaN,360.0,364.0,312.0
