# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-02-20T13:50
# UTM Zone,12N
# Easting,446048
# Northing,4493579
# Latitude,40.59125
# Longitude,-111.63759
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
284.0,274.0,128.0,NaN,NaN,NaN,NaN
280.0,270.0,166.0,NaN,NaN,NaN,NaN
270.0,260.0,214.0,NaN,NaN,NaN,NaN
260.0,250.0,194.0,NaN,NaN,NaN,NaN
250.0,240.0,234.0,NaN,NaN,NaN,NaN
240.0,230.0,304.0,NaN,NaN,NaN,NaN
230.0,220.0,283.0,NaN,NaN,NaN,NaN
220.0,210.0,287.0,NaN,NaN,NaN,NaN
210.0,200.0,309.0,NaN,NaN,NaN,NaN
200.0,190.0,315.0,NaN,NaN,NaN,NaN
190.0,180.0,311.0,NaN,NaN,NaN,NaN
180.0,170.0,318.0,NaN,NaN,NaN,NaN
170.0,160.0,315.0,NaN,NaN,NaN,NaN
160.0,150.0,330.0,NaN,NaN,NaN,NaN
150.0,140.0,311.0,NaN,NaN,NaN,NaN
140.0,130.0,340.0,NaN,NaN,NaN,NaN
130.0,120.0,367.0,NaN,NaN,NaN,NaN
120.0,110.0,370.0,NaN,NaN,NaN,NaN
110.0,100.0,396.0,NaN,NaN,NaN,NaN
100.0,90.0,383.0,NaN,NaN,NaN,NaN
90.0,80.0,413.0,NaN,NaN,NaN,NaN
80.0,70.0,398.0,NaN,NaN,NaN,NaN
70.0,60.0,404.0,NaN,NaN,NaN,NaN
60.0,50.0,414.0,NaN,NaN,NaN,NaN
50.0,40.0,417.0,NaN,NaN,NaN,NaN
40.0,30.0,410.0,NaN,NaN,NaN,NaN
30.0,20.0,478.0,NaN,NaN,NaN,NaN
20.0,10.0,449.0,NaN,NaN,NaN,NaN
10.0,0.0,448.0,NaN,NaN,NaN,NaN
