# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-02-07T12:30
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
150.0,140.0,292.0,1.459,1.426,0.1239498567896285,0.0
140.0,130.0,286.6666666666667,1.291,1.257,0.0,0.0
130.0,120.0,189.33333333333334,1.422,1.267,0.806657071873165,0.021208650100379044
120.0,110.0,231.5,1.32,1.326,0.0,0.0
110.0,100.0,239.5,1.434,1.554,0.457096959251917,1.0680268266619894
100.0,90.0,241.66666666666666,1.386,1.363,0.19417592696376337,0.07698210180624102
90.0,80.0,293.5,1.435,1.439,0.0,0.007864133931866411
80.0,70.0,314.5,1.424,1.436,0.0,0.0
70.0,60.0,325.0,1.481,1.458,0.0,0.0
60.0,50.0,357.5,1.476,1.482,0.0,0.0
50.0,40.0,367.5,1.514,1.473,0.0,0.0
40.0,30.0,357.0,1.447,1.456,0.0,0.0
30.0,20.0,366.5,1.481,1.446,0.0,0.0
20.0,10.0,354.0,1.462,1.555,0.0,0.03250294339392985
10.0,0.0,NaN,1.479,1.533,NaN,NaN
