# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-02-07T12:30
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
149.0,140.0,< 1 mm,DF,1F,W,NaN
140.0,129.0,< 1 mm,DF,1F,W,NaN
129.0,127.0,< 1 mm,IF,K,[],Ice layer
127.0,118.0,< 1 mm,DF,4F,M,NaN
118.0,116.0,1-2 mm,IF,K,[],Ice layer
116.0,93.0,< 1 mm,DF,4F,D,Several round grains
93.0,88.0,< 1 mm,DF,1F,M,NaN
88.0,86.0,1-2 mm,IF,K,[],Icy
86.0,83.0,< 1 mm,DF,1F,M,NaN
83.0,81.0,< 1 mm,DF,1F,M,Slightly yellowish color
81.0,77.0,1-2 mm,MF,P,[],Icy
77.0,73.0,1-2 mm,DF,1F,M,NaN
73.0,55.0,< 1 mm,DF,P,M,NaN
55.0,39.0,1-2 mm,RG,P,M,NaN
39.0,0.0,1-2 mm,RG,1F,M,NaN
