# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-02-07T12:30
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
150.0,140.0,292.0,276.0,308.0
140.0,130.0,280.0,305.0,275.0
130.0,120.0,185.0,203.0,180.0
120.0,110.0,233.0,230.0,NaN
110.0,100.0,234.0,245.0,NaN
100.0,90.0,260.0,236.0,229.0
90.0,80.0,296.0,291.0,NaN
80.0,70.0,328.0,301.0,NaN
70.0,60.0,327.0,323.0,NaN
60.0,50.0,363.0,352.0,NaN
50.0,40.0,370.0,365.0,NaN
40.0,30.0,354.0,360.0,NaN
30.0,20.0,360.0,373.0,NaN
20.0,10.0,348.0,360.0,NaN
10.0,0.0,NaN,NaN,NaN
