# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-03-05T12:30
# UTM Zone,12N
# Easting,446048
# Northing,4493579
# Latitude,40.59125
# Longitude,-111.63759
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
250.0,240.0,359.0,NaN,NaN,NaN,NaN
240.0,230.0,323.0,NaN,NaN,NaN,NaN
230.0,220.0,315.0,NaN,NaN,NaN,NaN
220.0,210.0,341.0,NaN,NaN,NaN,NaN
210.0,200.0,344.0,NaN,NaN,NaN,NaN
200.0,190.0,353.0,NaN,NaN,NaN,NaN
190.0,180.0,351.0,NaN,NaN,NaN,NaN
180.0,170.0,378.0,NaN,NaN,NaN,NaN
170.0,160.0,431.0,NaN,NaN,NaN,NaN
160.0,150.0,376.0,NaN,NaN,NaN,NaN
150.0,140.0,379.0,NaN,NaN,NaN,NaN
140.0,130.0,NaN,NaN,NaN,NaN,NaN
130.0,120.0,362.0,NaN,NaN,NaN,NaN
120.0,110.0,457.0,NaN,NaN,NaN,NaN
110.0,100.0,424.0,NaN,NaN,NaN,NaN
100.0,90.0,432.0,NaN,NaN,NaN,NaN
90.0,80.0,416.0,NaN,NaN,NaN,NaN
80.0,70.0,429.0,NaN,NaN,NaN,NaN
70.0,60.0,439.0,NaN,NaN,NaN,NaN
60.0,50.0,427.0,NaN,NaN,NaN,NaN
50.0,40.0,446.0,NaN,NaN,NaN,NaN
40.0,30.0,452.0,NaN,NaN,NaN,NaN
30.0,20.0,432.0,NaN,NaN,NaN,NaN
20.0,10.0,458.0,NaN,NaN,NaN,NaN
10.0,0.0,473.0,NaN,NaN,NaN,NaN
