# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-02-26T14:45
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
134.0,124.0,252.66666666666666,1.304,1.307,0.0,0.0
124.0,114.0,284.5,1.489,1.449,0.3452371691436466,0.14056577180459723
114.0,104.0,336.0,1.529,1.536,0.07280099925462324,0.10881051190444026
104.0,94.0,289.0,1.432,1.541,0.012907593929219243,0.5708621917351298
94.0,84.0,315.0,1.466,1.462,0.0,0.0
84.0,74.0,309.5,1.49,1.488,0.12220725522067723,0.11194658823319059
74.0,64.0,332.5,1.479,1.522,0.0,0.07023986172008813
64.0,54.0,363.5,1.564,1.571,0.0,0.0216006302513878
54.0,44.0,375.0,1.608,1.61,0.09821188954706223,0.10854091956221193
44.0,34.0,392.0,1.622,1.614,0.0,0.0
34.0,24.0,350.0,1.732,1.604,0.9829340837961168,0.3239163792897155
24.0,14.0,344.5,1.594,1.522,0.3256191397392194,0.0
14.0,4.0,NaN,1.504,1.483,NaN,NaN
