# Location,Cameron Pass
# Site,Joe Wright
# PitID,COCPJW
# Date/Local Time,2020-03-11T10:00
# UTM Zone,13N
# Easting,424321
# Northing,4486308
# Latitude,40.52405
# Longitude,-105.89345
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
158.0,148.0,156.0,163.0,NaN
148.0,138.0,308.0,307.0,NaN
138.0,128.0,371.0,343.0,NaN
128.0,118.0,359.0,340.0,NaN
118.0,108.0,378.0,385.0,NaN
108.0,98.0,400.0,358.0,369.0
98.0,88.0,401.0,380.0,NaN
88.0,78.0,426.0,430.0,NaN
78.0,68.0,417.0,392.0,NaN
68.0,58.0,394.0,349.0,355.0
58.0,48.0,408.0,400.0,NaN
48.0,38.0,436.0,404.0,456.0
38.0,28.0,360.0,388.0,NaN
28.0,18.0,360.0,400.0,360.0
18.0,8.0,356.0,372.0,NaN
10.0,0.0,364.0,340.0,NaN
