# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-02-14T12:30
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
136.0,126.0,322.0,307.0,NaN
126.0,116.0,330.0,366.0,347.0
116.0,106.0,263.0,245.0,NaN
106.0,96.0,270.0,269.0,NaN
96.0,86.0,281.0,275.0,NaN
86.0,76.0,326.0,313.0,NaN
76.0,66.0,345.0,327.0,NaN
66.0,56.0,353.0,351.0,NaN
56.0,46.0,372.0,369.0,NaN
46.0,36.0,371.0,360.0,NaN
36.0,26.0,377.0,377.0,NaN
26.0,16.0,354.0,372.0,375.0
16.0,6.0,376.0,367.0,NaN
